type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder
5007512687,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/458036408/original.jpg,https://www.inaturalist.org/photos/458036408,,,,,2023-03-06T01:45:01Z,Frederic Griesbaum,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Frederic Griesbaum
5007512687,StillImage,image/jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/458036396/original.jpg,https://www.inaturalist.org/photos/458036396,,,,,2023-03-05T07:09:47Z,Frederic Griesbaum,,iNaturalist,http://creativecommons.org/licenses/by-nc/4.0/,Frederic Griesbaum
4979190142,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-12708/,,,,,,,,,,
4979187846,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7107/,,,,,,,,,,
4979187845,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7109/,,,,,,,,,,
4979187837,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7105/,,,,,,,,,,
4979187830,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7101/,,,,,,,,,,
4979187727,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7110/,,,,,,,,,,
4979187672,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7097/,,,,,,,,,,
4979187671,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7092/,,,,,,,,,,
4979187601,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-7085/,,,,,,,,,,
4979186531,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-22009/,,,,,,,,,,
4979176357,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-17688/,,,,,,,,,,
4979176344,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-17689/,,,,,,,,,,
4979175095,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-5607/,,,,,,,,,,
4979175034,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-5608/,,,,,,,,,,
4979175033,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-5609/,,,,,,,,,,
4979175016,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-5610/,,,,,,,,,,
4979174962,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-17725/,,,,,,,,,,
4979174956,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-17726/,,,,,,,,,,
4979174836,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-17748/,,,,,,,,,,
4979171966,,,,http://colecciones.humboldt.org.co/rec/imagenes/IAvH-P/IAvH-P-3247/,,,,,,,,,,
